"DIC","PH"
"1",0.00148470432628673,8.4298628149126
"2",0.00151794245663078,8.38287524886308
"3",0.00154665424838792,8.34140229200308
"4",0.00157182140680891,8.30421324205219
"5",0.00159414023476643,8.27045592727702
"6",0.00161412317890634,8.2395146651038
"7",0.00163215857013179,8.21092940101322
"8",0.00164854776554968,8.18434683856751
"9",0.00166352928798348,8.15948944724725
"10",0.00167729509739626,8.13613501334816
"11",0.00169000189860096,8.11410269148882
"12",0.00170177920589797,8.09324321736445
"13",0.0017127352245529,8.07343187094223
"14",0.00172296122420188,8.05456330865551
"15",0.0017325348467883,8.03654769673669
"16",0.00174152264666611,8.01930776988839
"17",0.00174998206753164,8.00277656061706
"18",0.0017579629997522,7.98689562295246
"19",0.00176550902060924,7.97161362620751
"20",0.00177265839184088,7.95688522955311
"21",0.00177944486925354,7.94267017238638
"22",0.00178589836525796,7.92893253243475
"23",0.00179204549518215,7.91564011561667
"24",0.00179791003091652,7.90276395040131
"25",0.00180351328006038,7.89027786579085
"26",0.00180887440471767,7.87815813677412
"27",0.00181401069105477,7.86638318463901
"28",0.00181893777842004,7.85493332220801
"29",0.00182366985504927,7.8437905361075
"30",0.00182821982599529,7.83293829975625
"31",0.001832599457851,7.82236141198661
"32",0.00183681950397812,7.81204585717036
"33",0.00184088981328449,7.80197868348027
"34",0.00184481942505407,7.79214789652052
"35",0.00184861665190204,7.78254236604169
"36",0.00185228915257841,7.77315174384378
"37",0.00185584399605982,7.76396639128553
"38",0.00185928771813887,7.75497731507399
"39",0.00186262637152775,7.74617611021796
"40",0.00186586557033923,7.73755490920162
"41",0.00186901052967608,7.72910633657686
"42",0.00187206610095267,7.72082346829153
"43",0.00187503680348249,7.71269979516948
"44",0.00187792685278918,7.7047291900409
"45",0.00188074018603543,7.69690587809123
"46",0.00188348048490979,7.68922441005538
"47",0.00188615119626685,7.68167963793402
"48",0.00188875555077481,7.67426669295043
"49",0.0018912965797964,7.66698096550342
"50",0.00189377713069458,7.65981808690146
"51",0.00189619988073507,7.65277391269075
"52",0.00189856734973451,7.64584450741189
"53",0.00190088191158551,7.63902613064016
"54",0.00190314580477439,7.63231522418087
"55",0.0019053611419937,7.62570840030653
"56",0.00190752991893982,7.61920243093492
"57",0.00190965402237607,7.61279423765893
"58",0.00191173523753206,7.6064808825483
"59",0.00191377525490309,7.60025955965238
"60",0.00191577567650579,7.59412758714032
"61",0.00191773802164047,7.58808240002188
"62",0.00191966373220558,7.58212154339791
"63",0.00192155417760388,7.57624266619448
"64",0.00192341065927829,7.57044351533977
"65",0.00192523441490792,7.5647219303461
"66",0.00192702662229506,7.55907583826383
"67",0.00192878840297004,7.55350324897682
"68",0.00193052082553522,7.54800225081149
"69",0.00193222490877338,7.54257100643516
"70",0.00193390162453724,7.53720774902063
"71",0.00193555190043922,7.53191077865654
"72",0.00193717662235694,7.52667845898466
"73",0.00193877663676934,7.52150921404718
"74",0.00194035275293673,7.51640152532823
"75",0.00194190574493671,7.51135392897543
"76",0.00194343635356714,7.50636501318849
"77",0.00194494528812623,7.50143341576276
"78",0.00194643322807888,7.49655782177686
"79",0.00194790082461784,7.49173696141427
"80",0.00194934870212724,7.48696960790974
"81",0.00195077745955561,7.48225457561181
"82",0.0019521876717054,7.47759071815383
"83",0.00195357989044318,7.47297692672592
"84",0.00195495464583926,7.46841212844173
"85",0.00195631244723806,7.46389528479326
"86",0.00195765378426655,7.45942539018837
"87",0.00195897912778386,7.45500147056572
"88",0.0019602889307763,7.45062258208212
"89",0.00196158362920145,7.44628780986784
"90",0.00196286364278454,7.4419962668457
"91",0.0019641293757705,7.43774709261
"92",0.00196538121763422,7.43353945236172
"93",0.00196661954375217,7.42937253589657
"94",0.00196784471603685,7.42524555664267
"95",0.0019690570835386,7.42115775074544
"96",0.00197025698301339,7.41710837619605
"97",0.00197144473946222,7.41309671200187
"98",0.00197262066664104,7.40912205739586
"99",0.0019737850675459,7.40518373108325
"100",0.00197493823487103,7.40128107052273
"101",0.00197608045144522,7.39741343124099
"102",0.00197721199064541,7.39358018617829
"103",0.00197833311678973,7.38978072506352
"104",0.00197944408551135,7.3860144538173
"105",0.00198054514411275,7.38228079398116
"106",0.00198163653190445,7.37857918217219
"107",0.00198271848052589,7.37490906956111
"108",0.00198379121425156,7.37126992137288
"109",0.00198485495028236,7.36766121640862
"110",0.00198590989902324,7.36408244658788
"111",0.0019869562643478,7.36053311650995
"112",0.0019879942438506,7.35701274303358
"113",0.00198902402908783,7.35352085487394
"114",0.00199004580580691,7.3500569922161
"115",0.00199105975416575,7.34662070634423
"116",0.00199206604894204,7.34321155928566
"117",0.00199306485973322,7.33982912346922
"118",0.00199405635114755,7.33647298139701
"119",0.0019950406829868,7.33314272532917
"120",0.00199601801042088,7.32983795698087
"121",0.00199698848415497,7.326558287231
"122",0.00199795225058939,7.32330333584208
"123",0.00199890945197262,7.3200727311908
"124",0.00199986022654788,7.31686611000874
"125",0.00200080470869349,7.31368311713282
"126",0.00200174302905733,7.31052340526499
"127",0.00200267531468579,7.30738663474086
"128",0.00200360168914727,7.30427247330672
"129",0.00200452227265075,7.30118059590474
"130",0.00200543718215945,7.29811068446589
"131",0.00200634653149992,7.2950624277103
"132",0.00200725043146673,7.29203552095468
"133",0.00200814898992304,7.28902966592658
"134",0.00200904231189715,7.28604457058518
"135",0.00200993049967507,7.28307994894824
"136",0.00201081365288993,7.28013552092511
"137",0.00201169186860745,7.27721101215548
"138",0.00201256524140836,7.27430615385354
"139",0.00201343386346755,7.27142068265748
